tmstmp, lat, lon, vid, rt, pid
20230816 14:33:00,29.62348665725949,-82.3972,1602,33,500655
20230816 14:32:50,29.614132,-82.361212,1014,34,55
20230816 14:32:59,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:33:12,29.645546,-82.32272,2307,17,500617
20230816 14:33:15,29.62348665725949,-82.3972,1602,33,500655
20230816 14:33:20,29.614132,-82.361212,1014,34,55
20230816 14:33:14,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:33:27,29.645546,-82.32272,2307,17,500617
20230816 14:33:37,29.62348665725949,-82.3972,1602,33,500655
20230816 14:33:37,29.614132,-82.361212,1014,34,55
20230816 14:33:29,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:33:42,29.645546,-82.32272,2307,17,500617
20230816 14:33:53,29.62348665725949,-82.3972,1602,33,500655
20230816 14:33:53,29.614132,-82.361212,1014,34,55
20230816 14:33:57,29.645546,-82.32272,2307,17,500617
20230816 14:34:08,29.62348665725949,-82.3972,1602,33,500655
20230816 14:34:08,29.614132,-82.361212,1014,34,55
20230816 14:33:57,29.645546,-82.32272,2307,17,500617
20230816 14:34:08,29.62348665725949,-82.3972,1602,33,500655
20230816 14:34:08,29.614132,-82.361212,1014,34,55
20230816 14:33:57,29.645546,-82.32272,2307,17,500617
20230816 14:34:24,29.62348665725949,-82.3972,1602,33,500655
20230816 14:34:23,29.614132,-82.361212,1014,34,55
20230816 14:53:43,29.63684,-82.3430252,2108,13,500623
20230816 14:53:59,29.636836018779064,-82.34302562162202,2108,13,500623
20230816 14:54:23,29.625575000000005,-82.38820666666668,1206,12,500650
20230816 14:54:15,29.636836018779064,-82.34302562162202,2108,13,500623
20230816 14:54:23,29.625575000000005,-82.38820666666668,1206,12,500650
20230816 14:54:35,29.636836018779064,-82.34302562162202,2108,13,500623
20230816 14:54:39,29.625575000000005,-82.38820666666668,1206,12,500650
20230816 14:55:08,29.6252747,-82.38789,1206,12,500650
20230816 14:55:20,29.6252747,-82.38789,1206,12,500650
20230816 14:57:39,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:57:55,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:57:58,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:58:10,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:58:14,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:58:26,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:58:30,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:58:42,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:58:45,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:58:59,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:59:00,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:59:14,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:59:16,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:59:15,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 14:59:31,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:59:31,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:59:31,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 14:59:47,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:59:47,29.642471666666665,-82.27159166666667,710,11,4
20230816 14:59:46,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:00:02,29.64603833333333,-82.32260999999998,708,1,477
20230816 14:59:58,29.639060000000004,-82.34403499999999,1015,8,328
20230816 15:00:05,29.642497014989363,-82.27152537968384,710,11,4
20230816 15:00:02,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:00:18,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:00:22,29.642433,-82.271533,710,11,44
20230816 15:00:17,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:00:35,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:00:39,29.642433,-82.271533,710,11,44
20230816 15:00:26,29.645546,-82.322725,2109,15,66
20230816 15:00:32,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:00:51,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:00:55,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:00:51,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:00:55,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:01:07,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:01:10,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:01:10,29.63908666666667,-82.34393999999999,1016,43,500612
20230816 15:01:22,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:01:26,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:01:26,29.63908666666667,-82.34393999999999,1016,43,500612
20230816 15:01:53,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:01:41,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:01:41,29.63908666666667,-82.34393999999999,1016,43,500612
20230816 15:02:08,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:01:56,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:01:57,29.63908666666667,-82.34393999999999,1016,43,500612
20230816 15:02:23,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:02:17,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:02:23,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:02:32,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:02:39,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:02:49,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:02:54,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:03:04,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:03:16,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:03:20,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:03:31,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:03:35,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:03:47,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:03:51,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:04:02,29.64603833333333,-82.32260999999998,708,1,477
20230816 15:04:06,29.640206892983898,-82.34619531823041,2113,25,500626
20230816 15:04:19,29.64603833333333,-82.32260999999998,708,1,477
